Mario Maloca;96:12;9230,19;3,02;4613,42;3031,64;1068,62;429,36;84,13;35;30,52;5,76;2716,9;48,11;6,83;8;3771,12;282,35;77,3;29;2742,23;100,07;0,0;4;Lechia Gdańsk;https://www.transfermarkt.pl/mario-maloca/profil/spieler/48873
Bartosz Kopacz;96:12;9556,99;12,28;3997,96;3774,88;1118,12;556,06;97,69;46;29,53;5,96;3153,95;173,53;28,16;21;3847,79;375,88;69,53;30;2555,27;6,65;0,0;2;Lechia Gdańsk;https://www.transfermarkt.pl/bartosz-kopacz/profil/spieler/153306
Michał Nalepa;96:12;8900,09;13,12;4249,79;3359,63;870,53;389,67;17,35;33;27,01;5,55;2784,75;27,0;0,0;7;3707,63;362,66;17,35;32;2407,83;0,0;0,0;0;Lechia Gdańsk;https://www.transfermarkt.pl/michal-nalepa/profil/spieler/175947
Ilkay Durmus;81:39;9418,61;8,28;2897,63;4121,72;1278,11;929,97;182,9;76;30,66;6,92;3739,8;437,98;92,08;47;3709,94;484,13;90,81;40;1968,82;7,86;0,0;3;Lechia Gdańsk;https://www.transfermarkt.pl/ilkay-durmus/profil/spieler/119549
Tomasz Makowski;96:12;10955,06;6,04;3590,29;4346,47;2131,4;799,39;81,47;66;27,53;6,83;3632,38;108,87;3,4;15;4894,8;689,59;78,07;61;2427,86;2,16;0,0;2;Lechia Gdańsk;https://www.transfermarkt.pl/tomasz-makowski/profil/spieler/320961
Jacek Kałuziński (M);61:14;8005,64;2,03;2071,78;3630,46;1884,37;387,96;29,04;31;27,22;7,84;2968,78;179,25;0,0;14;3466,39;208,71;29,04;22;1570,55;0,0;0,0;0;Lechia Gdańsk;nie udało się znaleźć linku
Joseph Ceesay;68:51;7984,71;3,09;2990,19;3071,95;1139,98;524,08;255,42;57;31,55;6,96;3104,24;335,76;154,9;41;3112,12;177,44;100,52;30;1768,33;10,88;0,0;1;Lechia Gdańsk;https://www.transfermarkt.pl/joseph-ceesay/profil/spieler/364278
Jarosław Kubicki;96:12;11432,1;8,28;3818,89;4555,23;2145,97;822,23;81,5;63;28,88;7,13;4207,16;353,73;8,27;31;4539,79;457,42;73,23;40;2685,19;10,01;0,0;2;Lechia Gdańsk;https://www.transfermarkt.pl/jaroslaw-kubicki/profil/spieler/327756
Conrado;96:12;9391,98;11,94;3993,07;2758,27;1520,16;809,71;298,83;81;32,37;5,86;2985,2;305,49;84,28;35;3935,9;503,07;214,55;64;2470,79;1,16;0,0;1;Lechia Gdańsk;https://www.transfermarkt.pl/erick/profil/spieler/633212
Łukasz Zwoliński;81:33;8481,67;4,17;3542,77;3346,13;1135,11;382,66;70,83;34;30,55;6,24;3071,17;217,17;57,86;22;3400,71;159,58;11,93;17;2009,97;6,93;1,05;3;Lechia Gdańsk;https://www.transfermarkt.pl/lukasz-zwolinski/profil/spieler/220740
Jan Biegański;34:58;3980,68;0,0;1395,96;1795,77;516,02;235,9;37,03;19;28,33;6,83;1242,75;10,21;0,0;2;1456,37;225,69;37,03;18;1281,51;0,0;0,0;0;Lechia Gdańsk;https://www.transfermarkt.pl/jan-bieganski/profil/spieler/566355
Flavio Paixao;14:38;1280,06;3,14;484,53;485,44;248,19;58,76;0,0;6;25,22;5,25;244,1;38,57;0,0;4;416,84;12,34;0,0;3;619,14;7,87;0,0;2;Lechia Gdańsk;https://www.transfermarkt.pl/flavio-paixao/profil/spieler/123455
Maciej Gajos;14:33;1520,21;3,11;538,09;495,55;282,52;147,49;53,45;11;30,06;6,27;227,98;67,89;0,0;3;582,45;78,49;53,45;8;709,79;1,11;0,0;1;Lechia Gdańsk;https://www.transfermarkt.pl/maciej-gajos/profil/spieler/236891
Mateusz Żukowski (M);27:21;2748,42;5,05;1146,48;780,7;463,31;148,93;203,95;19;33,88;6,03;870,05;70,9;132,58;12;810,5;51,71;71,37;11;1067,86;27,37;0,0;1;Lechia Gdańsk;https://www.transfermarkt.pl/mateusz-zukowski/profil/spieler/470375
Kacper Tobiasz (M);95:41;4976,89;33,29;3700,17;993,11;188,23;62,09;0,0;6;25,14;3,12;1869,78;13,34;0,0;1;1871,66;48,75;0,0;5;1235,52;0,0;0,0;0;Legia Warszawa;https://www.transfermarkt.pl/kacper-tobiasz/profil/spieler/658111
Kacper Skibicki (M);76:30;8987,75;84,48;2750,55;3965,57;1465,04;576,89;145,22;50;31,89;7,05;3173,71;249,02;72,68;25;3448,5;265,61;72,55;26;2365,56;62,25;0,0;3;Legia Warszawa;https://www.transfermarkt.pl/kacper-skibicki/profil/spieler/607860
Lindsay Rose;95:41;9926,81;81,22;3561,32;4190,97;1520,64;468,98;103,68;42;29,99;6,22;3656,28;158,55;15,24;14;4040,44;273,3;82,23;27;2230,15;37,13;6,21;4;Legia Warszawa;https://www.transfermarkt.pl/lindsay-rose/profil/spieler/135490
Maik Nawrocki (M);95:41;9242,79;24,8;3494,32;4234,05;916,78;410,83;162,01;45;32,55;5,8;3479,89;80,37;96,94;15;3844,81;330,45;65,07;35;1918,11;0,0;0,0;0;Legia Warszawa;https://www.transfermarkt.pl/maik-nawrocki/profil/spieler/407745
Joel Abu Hanna;81:17;9219,73;51,65;3313,0;3579,68;1470,92;555,31;249,17;56;29,4;6,81;3375,09;220,95;109,59;30;3561,0;334,34;139,58;36;2283,56;0,0;0,0;0;Legia Warszawa;https://www.transfermarkt.pl/joel-abu-hanna/profil/spieler/267330
